accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no,accepted_rank,parent_no,ref_pubyr,reference_no,is_extant,n_occs,family,genus,primary_reference
Nannopithex filholi,348251,348251,Nannopithex filholi,,348251,species,40817,2011,60954,extinct,6,Omomyidae,Nannopithex,L. Costeur and M. Schneider. 2011. Catalogue of the Eocene mammal types of the Natural History Museum Basel. Carnets de Géologie - Notebooks on Geology
Nannopithex filholi,348252,348252,Nannopithex pollicaris,subjective synonym of,348251,species,40817,2011,60954,extinct,6,Omomyidae,Nannopithex,L. Costeur and M. Schneider. 2011. Catalogue of the Eocene mammal types of the Natural History Museum Basel. Carnets de Géologie - Notebooks on Geology
Nannopithex barnesi,352361,352361,Nannopithex barnesi,,352361,species,40817,2008,62212,extinct,0,Omomyidae,Nannopithex,J. J. Hooker and D. L. Harrison. 2008. A new clade of omomyid primates from the European Paleogene. Journal of Vertebrate Paleontology 28(3):826-840
Indusomys kaliae,144251,345398,Indusomys kaliae,,144251,species,345397,2008,29569,extinct,1,Omomyidae,Indusomys,"G. F. Gunnell, P. D. Gingerich, and M. Haq, J. I. Bloch, I. H. Khan, W. C. Clyde. 2008. New primates (Mammalia) from the early and middle Eocene of Pakistan and their paleobiogeographical implications. Contributions from the Museum of Paleontology, University of Michigan 32(1):1-14"
Melaneremia bryanti,101083,101083,Melaneremia bryanti,,101083,species,101082,2007,24414,extinct,1,Omomyidae,Melaneremia,"J. J. Hooker. 2007. A new microchoerine omomyid (Primates, Mammalia) from the English Early Eocene and its palaeobiogeographical implications. Palaeontology 50(3):739-756"
Melaneremia schrevei,368556,368556,Melaneremia schrevei,,368556,species,101082,2018,65391,extinct,1,Omomyidae,Melaneremia,"J. J. Hooker. 2018. A mammal fauna from the Paleocene-Eocene Thermal Maximum of\r\nCroydon, London, UK. Proceedings of the Geologists’ Association"
Microchoerus erinaceus,57923,57923,Microchoerus erinaceus,,57923,species,40816,1973,10423,extinct,18,Omomyidae,Microchoerus,"P. E. Cray. 1973. Marsupialia, Insectivora, Primates, Creodonta and Carnivora from the Headon Beds (upper Eocene) of southern England. Bulletin of the British Museum (Natural History). Geology Series 23(1):1-102"
Microchoerus ornatus,348253,348253,Microchoerus ornatus,,348253,species,40816,2011,60954,extinct,1,Omomyidae,Microchoerus,L. Costeur and M. Schneider. 2011. Catalogue of the Eocene mammal types of the Natural History Museum Basel. Carnets de Géologie - Notebooks on Geology
Microchoerus creechbarrowensis,374310,374310,Microchoerus creechbarrowensis,,374310,species,40816,1986,10553,extinct,0,Omomyidae,Microchoerus,"J. J. Hooker. 1986. Mammals from the Bartonian (middle/late Eocene) of the Hampshire Basin, southern England. Bulletin of the British Museum (Natural History) 39(4):191-478"
Microchoerus hookeri,352289,352289,Microchoerus hookeri,,352289,species,40816,2017,62203,extinct,2,Omomyidae,Microchoerus,"R. Minwer-Barakat, J. Marigó, and J. Femenias-Gual, L. Costeur, S. De Esteban-Trivigno, S. Moyà Solà. 2017. Microchoerus hookeri nov. sp., a new late Eocene European microchoerine (Omomyidae, Primates): New insights on the evolution of the genus Microchoerus. Journal of Human Evolution 102:42-66"
Microchoerus wardi,374309,374309,Microchoerus wardi,,374309,species,40816,1986,10553,extinct,2,Omomyidae,Microchoerus,"J. J. Hooker. 1986. Mammals from the Bartonian (middle/late Eocene) of the Hampshire Basin, southern England. Bulletin of the British Museum (Natural History) 39(4):191-478"
Pseudoloris isabenae,145154,145157,Pseudoloris isabenae,,145154,species,40821,1971,29667,extinct,2,Omomyidae,Pseudoloris,F. S. Szalay. 1971. The European adapid primates Agerina and Pronycticebus. American Museum Novitates 2466:1-18
Pseudoloris cuestai,264451,264451,Pseudoloris cuestai,,264451,species,40821,2012,46143,extinct,1,Omomyidae,Pseudoloris,"R. Minwer-Barakat, J. Marigó, and S. Moyà-Solà. 2012. Pseudoloris cuestai, a New Microchoerine (Primates, Omomyidae) from the Middle Eocene of the Iberian Peninsula. Journal of Vertebrate Paleontology 32(2):407-418"
Pseudoloris erenensis,332872,332872,Pseudoloris erenensis,,332872,species,40821,2008,57178,extinct,1,Omomyidae,Pseudoloris,"B.-Y. Wang. 2008. First record of primate fossils from Late Eocene in Eren Region, Nei Mongol, China. Vertebrata PalAsiatica 46(2):81-89"
Pseudoloris parvulus,67466,67466,Pseudoloris parvulus,,67466,species,40821,1986,10553,extinct,16,Omomyidae,Pseudoloris,"J. J. Hooker. 1986. Mammals from the Bartonian (middle/late Eocene) of the Hampshire Basin, southern England. Bulletin of the British Museum (Natural History) 39(4):191-478"
Pseudoloris crusafonti,144351,144351,Pseudoloris crusafonti,,144351,species,40821,1999,29576,extinct,2,Omomyidae,Pseudoloris,M. Köhler and S. Moyá-Solá. 1999. A finding of Oligocene primates on the European continent. Proceedings of the National Academy of Sciences 96:14664-14667
Pseudoloris reguanti,144352,144352,Pseudoloris reguanti,,144352,species,40821,1999,29576,extinct,1,Omomyidae,Pseudoloris,M. Köhler and S. Moyá-Solá. 1999. A finding of Oligocene primates on the European continent. Proceedings of the National Academy of Sciences 96:14664-14667
Pseudoloris pyrenaicus,264450,264450,Pseudoloris pyrenaicus,,264450,species,40821,2010,46142,extinct,2,Omomyidae,Pseudoloris,"R. Minwer-Barakat, J. Marigó, and S. Moyà-Solà. 2010. A New Species of Pseudoloris (Omomyidae, Primates) from the Middle Eocene of Sant Jaume de Frontanyà (Eastern Pyrenees, Spain). American Journal of Physical Anthropology 143:92-99"
Pseudoloris godinoti,144332,144332,Pseudoloris godinoti,,144332,species,40821,1999,29576,extinct,2,Omomyidae,Pseudoloris,M. Köhler and S. Moyá-Solá. 1999. A finding of Oligocene primates on the European continent. Proceedings of the National Academy of Sciences 96:14664-14667
Vectipithex ulmensis,145139,352355,Vectipithex ulmensis,,145139,species,352353,1998,1679,extinct,5,Omomyidae,Vectipithex,M. Godinot. 1998. A summary of adapiform systematics and phylogeny. Folia Primatologica 69(Suppl. 1):218-249
Vectipithex quaylei,101084,352356,Vectipithex quaylei,,101084,species,352353,1986,10553,extinct,1,Omomyidae,Vectipithex,"J. J. Hooker. 1986. Mammals from the Bartonian (middle/late Eocene) of the Hampshire Basin, southern England. Bulletin of the British Museum (Natural History) 39(4):191-478"
