county,county_name,district,district_name,k12_enrollment,reduced,free,total_reduced_free,percent_reduced_free,year
82,Scott,1611,Davenport Comm School District,13288,,,7248,54.55,2022
26,Davis,1619,Davis County Comm School District,1210,,,539,44.55,2022
96,Winneshiek,1638,Decorah Community School District,1558,,,394,25.29,2022
23,Clinton,1675,Delwood Comm School District,135,,,53,39.26,2022
24,Crawford,1701,Denison Comm School District,2143,,,1386,64.68,2022
9,Bremer,1719,Denver Comm School District,936,,,129,13.78,2022
77,Polk,1737,Des Moines Independent Comm School District,29029,,,22421,77.24,2022
80,Ringgold,1782,Diagonal Comm School District,114,,,50,43.86,2022
38,Grundy,1791,Dike-New Hartford Comm School District,904,,,164,18.14,2022
31,Dubuque,1863,Dubuque Comm School District,9722,,,4002,41.16,2022
7,Black Hawk,1908,Dunkerton Comm School District,382,,,166,43.46,2022
43,Harrison,1917,Boyer Valley Comm School District,375,,,151,40.27,2022
16,Cedar,1926,Durant Comm School District,642,,,201,31.31,2022
99,Wright,1944,Eagle Grove Comm School District,947,,,635,67.05,2022
61,Madison,1953,Earlham Comm School District,598,,,116,19.4,2022
10,Buchanan,1963,East Buchanan Comm School District,545,,,182,33.39,2022
49,Jackson,1965,Easton Valley Comm School District,453,,,168,37.09,2022
64,Marshall,1968,East Marshall Comm School District,690,,,260,37.68,2022
88,Union,1970,East Union Comm School District,462,,,266,57.58,2022
3,Allamakee,1972,Eastern Allamakee Comm School District,313,,,134,42.81,2022
97,Woodbury,1975,River Valley Comm School District,316,,,187,59.18,2022
22,Clayton,1989,Edgewood-Colesburg Comm School District,480,,,166,34.58,2022
42,Hardin,2007,Eldora-New Providence Comm School District,496,,,222,44.76,2022
74,Palo Alto,2088,Emmetsburg Comm School District,735,,,298,40.54,2022
48,Iowa,2097,English Valleys Comm School District,412,,,188,45.63,2022
73,Page,2113,Essex Comm School District,196,,,110,56.12,2022
32,Emmet,2124,Estherville Lincoln Central Com Sch Dist,1143,,,600,52.49,2022
83,Shelby,2151,Exira-Elk Horn- Kimballton Comm Sch Dist,371,,,187,50.4,2022
51,Jefferson,2169,Fairfield Comm School District,1456,,,714,49.04,2022
95,Winnebago,2295,Forest City Comm School District,1078,,,425,39.42,2022
94,Webster,2313,Fort Dodge Comm School District,3423,,,2080,60.77,2022
56,Lee,2322,Fort Madison Comm School District,1762,,,963,54.65,2022
36,Fremont,2369,Fremont-Mills Comm School District,418,,,154,36.84,2022
47,Ida,2376,Galva-Holstein Comm School District,457,,,168,36.76,2022
41,Hancock,2403,Garner-Hayfield-Ventura Comm School District,904,,,234,25.88,2022
60,Lyon,2457,George-Little Rock Comm School District,401,,,180,44.89,2022
85,Story,2466,Gilbert Comm School District,1615,,,132,8.17,2022
46,Humboldt,2493,Gilmore City-Bradgate Comm School District,87,,,59,67.82,2022
38,Grundy,2502,Gladbrook-Reinbeck Comm School District,465,,,159,34.19,2022
65,Mills,2511,Glenwood Comm School District,1934,,,731,37.8,2022
14,Carroll,2520,Glidden-Ralston Comm School District,349,,,105,30.09,2022
74,Palo Alto,2556,Graettinger-Terril Comm School District,310,,,176,56.77,2022
1,Adair,2673,Nodaway Valley Comm School District,590,,,274,46.44,2022
86,Tama,2682,GMG Comm School District,451,,,198,43.9,2022
79,Poweshiek,2709,Grinnell-Newburg Comm School District,1458,,,480,32.92,2022
15,Cass,2718,Griswold Comm School District,379,,,143,37.73,2022
38,Grundy,2727,Grundy Center Comm School District,724,,,205,28.31,2022
39,Guthrie,2754,Guthrie Center Comm School District,432,,,137,31.71,2022
22,Clayton,2763,Clayton Ridge Comm School District,1455,,,655,45.02,2022
48,Iowa,2766,H-L-V Comm School District,283,,,86,30.39,2022
36,Fremont,2772,Hamburg Comm School District,155,,,106,68.39,2022
35,Franklin,2781,Hampton-Dumont Comm School District,1240,,,692,55.81,2022
83,Shelby,2826,Harlan Comm School District,1422,,,544,38.26,2022
30,Dickinson,2846,Harris-Lake Park Comm School District,313,,,97,30.99,2022
71,O'Brien,2862,Hartley-Melvin-Sanborn Comm School District,613,,,310,50.57,2022
92,Washington,2977,Highland  Comm School District,515,,,113,21.94,2022
75,Plymouth,2988,Hinton Comm School District,804,,,126,15.67,2022
45,Howard,3029,Howard-Winneshiek Comm School District,984,,,470,47.76,2022
42,Hardin,3033,Hubbard-Radcliffe Comm School District,340,,,142,41.76,2022
7,Black Hawk,3042,Hudson Comm School District,817,,,204,24.97,2022
46,Humboldt,3060,Humboldt Comm School District,1439,,,568,39.47,2022
10,Buchanan,3105,Independence Comm School District,1380,,,488,35.36,2022
91,Warren,3114,Indianola Comm School District,3527,,,1049,29.74,2022
61,Madison,3119,Interstate 35 Comm School District,797,,,191,23.96,2022
52,Johnson,3141,Iowa City Comm School District,14262,,,5797,40.65,2022
42,Hardin,3150,Iowa Falls Comm School District,1162,,,466,40.1,2022
48,Iowa,3154,Iowa Valley Comm School District,490,,,194,39.59,2022
14,Carroll,3168,IKM-Manning Comm School District,655,,,250,38.17,2022
9,Bremer,3186,Janesville Consolidated School District,442,,,92,20.81,2022
37,Greene,3195,Greene County Comm School District,1160,,,559,48.19,2022
10,Buchanan,3204,Jesup Comm School District,958,,,208,21.71,2022
