specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
2437,,Navajovius kohlhaasae,49006,63.3,61.7,3024,-103.153862,29.462648,US,Texas,Brewster,estimated from map,6,local area,"western Tornillo Flat; N side of Tornillo Creek, reached by going W to a badlands area 2 mi from main road against the NW scarp of the flat at foot of Rosillos Mtns, ca. 1,5 mi S of small intrusion. Area of several tens of acres"
2438,,Navajovius kohlhaasae,49006,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
2439,holotype,Navajovius kohlhaasae,49006,,,1730,,,,,,,,,
2511,,Niptomomys doreenae,49179,,,8850,,,,,,,,,
2512,,Niptomomys doreenae,49179,,,1744,,,,,,,,,
2513,,Niptomomys doreenae,49179,,,2962,,,,,,,,,
2514,holotype,Niptomomys thelmae,49182,,,1744,,,,,,,,,
2515,,Niptomomys thelmae,49182,,,1744,,,,,,,,,
2516,,Cantius nunienus,50086,,,1606,,,,,,,,,
2517,,Cantius nunienus,50086,,,3806,,,,,,,,,
2518,,Notharctus tenebrosus,49200,,,1638,,,,,,,,,
2519,holotype,Notharctus robinsoni,49198,50.3,46.2,1638,-110.325279,41.769169,US,Wyoming,Lincoln,based on nearby landmark,seconds,small collection,"""standing bodies of water"" in fluvial sediments"
2520,,Notharctus robinsoni,49198,,,1638,,,,,,,,,
2521,,Notharctus robinsoni,49198,,,1737,,,,,,,,,
2522,,Notharctus tenebrosus,49200,,,1638,,,,,,,,,
2523,,Notharctus venticolus,49204,,,7526,,,,,,,,,
2524,,Notharctus venticolus,49204,,,7526,,,,,,,,,
2559,,Omomys carteri,49314,,,1613,,,,,,,,,
2560,,Omomys carteri,49314,,,2526,,,,,,,,,
2561,,Omomys carteri,49314,,,3596,,,,,,,,,
2562,,Omomys carteri,49314,,,1404,,,,,,,,,
2563,,Omomys carteri,49314,,,3605,,,,,,,,,
2564,,Omomys carteri,49314,,,7527,,,,,,,,,
2565,,Omomys lloydi,49316,,,1613,,,,,,,,,
2566,,Loveina minuta,49193,,,1616,,,,,,,,,
2567,,Stockia powayensis,51820,,,2233,,,,,,,,,
2568,holotype,Steinius vespertinus,49322,,,1124,,,,,,,,,
2676,holotype,Ourayia uintensis,48562,,,1613,,,,,,,,,
2677,,Ourayia uintensis,48562,,,3125,,,,,,,,,
